Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Sascha,sascha708,https://www.tiktok.com/@sascha708,✨siemse✨ willkommen im Jahr 2021 😭,02.09.21,26.5K,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1643759784011782~c5_100x100.jpg?x-expires=1702054800&x-signature=0lO9aFPndtrS6lNXFPaM2fDANZk%3D,No,---,0
2,Moritz,iamkoppi,https://www.tiktok.com/@iamkoppi,Für alle 13-Jährigen: Nettigkeit qualifiziert nicht fürs Kanzleramt.,02.09.21,10.4K,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1657482455411718~c5_100x100.jpg?x-expires=1702054800&x-signature=01p5P2seRuLJZAvnKTxL%2Fpon6c4%3D,No,---,0
3,jo ( harry's version ),choosekindnesseveryday,https://www.tiktok.com/@choosekindnesseveryday,Ich finde sie so unfassbar sympathisch!🥰,02.09.21,6711,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7745fe51e9a970ca18fa5c0d78496111~c5_100x100.jpg?x-expires=1702054800&x-signature=2LiQO6NJ9hlbdrjDu9XQUMbytSk%3D,No,---,0
4,Greta,greta.w.b,https://www.tiktok.com/@greta.w.b,Wenn sie nicht gewinnt verstehe ich die welt nicht mehr,02.09.21,2142,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/20ee6dfc5d5eeefca334cc9d019b7f8c~c5_100x100.jpg?x-expires=1702054800&x-signature=tOFi1NdCTNQxETYFFYUsOd9CNeM%3D,No,---,0
5,greenprogress,greenprogress,https://www.tiktok.com/@greenprogress,Kanzlerin 💚🌻💪🏼,03.09.21,1194,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c2a110db716df0b2a4b0ddf5843202d0~c5_100x100.jpg?x-expires=1702054800&x-signature=VuFw5RoKiTFBk4xKf%2FTYUKiB1R0%3D,No,---,0
6,bellie ( Taylor’s Version ),iheartbridgette,https://www.tiktok.com/@iheartbridgette,sie ist unfassbar nett <3,02.09.21,1276,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/29c212b48ff3845d3b937954628ae95a~c5_100x100.jpg?x-expires=1702054800&x-signature=fgNBnxOxHWVEp%2FYF1DsdxOB43Ac%3D,No,---,0
7,joonas0306,joonas0306,https://www.tiktok.com/@joonas0306,Mal ehrlich, die nutzt ihr Handy wie jede Mutti in den 40ern. Ihr WhatsApp Bild ist Safe Eine Blume, Landschaft oder der Hund 😂,02.09.21,1496,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1702054800&x-signature=3BIf08pZxVHHGSPR9mjSbc6v7zQ%3D,No,---,0
8,𝐋 🍸,lea.thatsme,https://www.tiktok.com/@lea.thatsme,Sie ist ja ganz sympathisch aber hm,02.09.21,1103,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/4847c8c7c955389a1683e107f12fe526~c5_100x100.jpg?x-expires=1702054800&x-signature=VwbUiK54EKoGCpc8dyrod2Oj6Hw%3D,No,---,0
9,🍂,elias.afr,https://www.tiktok.com/@elias.afr,"zum glück sind 80% der leute die sagen ""ehhh wählt nicht grün"" minderjährig lol",03.09.21,524,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/f93027bf6892b54fee5f54de998fbe8d~c5_100x100.jpg?x-expires=1702054800&x-signature=h4afEv3HBN88Omprzo9rQuoKPW0%3D,No,---,0
10,Hundetussi,haeuptling.haengehoden,https://www.tiktok.com/@haeuptling.haengehoden,Ohweia… bei den Kommentaren bin ich teilweise einfach froh ausgewandert zu sein… 😅 Sympathie entscheidet jetzt also über die Stimme fürs Kanzleramt?,05.09.21,1339,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/236514fbafad9706c532c4be136313ea~c5_100x100.jpg?x-expires=1702054800&x-signature=YT1XbLvvsZ37yHMBuURjgdYd2s4%3D,No,---,0
